level,playing_users,lost_heart_not_out_users,lost_heart_not_out_won,lost_heart_not_out_dropped_cohort,lost_heart_not_out_dropped_realtime,total_out_of_lives_users,out_of_lives_returned_users,out_of_lives_churned_cohort,out_of_lives_churned_realtime,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime
292,4,0,0,0,0,0,0,0,0,0,0,0,0
293,4,0,0,0,0,0,0,0,0,0,0,0,0
294,3,0,0,0,0,0,0,0,0,0,0,0,0
295,3,0,0,0,0,0,0,0,0,0,0,0,0
296,3,0,0,0,0,0,0,0,0,0,0,0,0
297,3,0,0,0,0,0,0,0,0,0,0,0,0
298,3,0,0,0,0,0,0,0,0,0,0,0,0
299,3,1,1,0,0,0,0,0,0,0,0,0,0
300,3,1,1,0,0,0,0,0,0,0,0,0,0
301,3,1,1,0,0,0,0,0,0,0,0,0,0
302,3,1,1,0,0,0,0,0,0,0,0,0,0
303,3,1,1,0,0,0,0,0,0,0,0,0,0
304,3,1,1,0,0,0,0,0,0,0,0,0,0
305,3,1,1,0,0,0,0,0,0,0,0,0,0
306,3,0,0,0,0,0,0,0,0,0,0,0,0
307,3,0,0,0,0,0,0,0,0,0,0,0,0
308,3,1,1,0,0,0,0,0,0,0,0,0,0
309,4,2,1,0,1,0,0,0,0,0,0,0,1
310,3,0,0,0,0,0,0,0,0,0,0,0,0
311,3,0,0,0,0,0,0,0,0,0,0,0,0
312,3,0,0,0,0,0,0,0,0,0,0,0,0
313,3,0,0,0,0,0,0,0,0,0,0,0,0
314,3,0,0,0,0,0,0,0,0,0,0,0,0
315,3,0,0,0,0,0,0,0,0,0,0,0,0
316,3,0,0,0,0,0,0,0,0,0,0,0,0
317,3,0,0,0,0,0,0,0,0,0,0,0,0
318,3,0,0,0,0,0,0,0,0,0,0,0,0
319,3,0,0,0,0,0,0,0,0,0,0,0,0
320,3,0,0,0,0,0,0,0,0,0,0,0,0
321,3,0,0,0,0,0,0,0,0,0,0,0,0
322,3,0,0,0,0,0,0,0,0,0,0,0,0
323,3,1,1,0,0,0,0,0,0,0,0,0,0
324,3,1,1,0,0,0,0,0,0,0,0,0,0
325,3,1,1,0,0,0,0,0,0,0,0,0,0
326,3,1,1,0,0,0,0,0,0,0,0,0,0
327,3,1,1,0,0,0,0,0,0,0,0,0,0
328,3,1,1,0,0,0,0,0,0,0,0,0,0
