level,playing_user,funnel_rate,funnel_rate_sanity,avg_attempts,1st_attempts_win,level_pass_rate,level_continue_rate,level_fail_rate,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime,avg_booster_usage,avg_progress,ad_revenue,ad_rw_revenue,ad_is_revenue,iap_revenue,arpu,ad_arpu,rw_imp,is_imp,cum_avg_rw_imp,cum_avg_is_imp,paying_user,rw_star_imp,rw_coin_imp,rw_heart_imp,rw_hint_booster_imp,rw_eraser_booster_imp,rw_wand_booster_imp,rw_grid_booster_imp,total_duration,median_duration,win_duration_p50,win_duration_p75,win_duration_p90,win_duration_avg,lose_duration_p50,lose_duration_p75,lose_duration_p90,lose_duration_avg,replay_rate,us_playing_user,de_playing_user,jp_playing_user,ru_playing_user,br_playing_user,tr_playing_user,es_playing_user,fr_playing_user,mx_playing_user,us_rw_imp,de_rw_imp,jp_rw_imp,ru_rw_imp,br_rw_imp,tr_rw_imp,es_rw_imp,fr_rw_imp,mx_rw_imp,us_is_imp,de_is_imp,jp_is_imp,ru_is_imp,br_is_imp,tr_is_imp,es_is_imp,fr_is_imp,mx_is_imp,t1_rw_user,t2_rw_user,t1_is_user,t2_is_user,resource_source_hint,resource_source_wand,resource_source_grid,resource_source_eraser,resource_sink_hint,resource_sink_wand,resource_sink_grid,resource_sink_eraser,avg_res_src_hint,avg_res_src_wand,avg_res_src_grid,avg_res_src_eraser,avg_res_sink_hint,avg_res_sink_wand,avg_res_sink_grid,avg_res_sink_eraser
119,46,0.0196,0.018,1.98,0.587,0.9565,0.9091,0.4945,0,0,0,1,0.1333,45.82,0.7812,0.604,0.155,0,0.017,0.017,73,39,3.937,9.9085,0,63,5,0,0,1,4,0,23740,251,343,463,630,393.33,109,214,310,134.22,0.3913,3,8,2,4,3,1,0,3,4,4,13,8,3,10,2,0,4,15,3,5,1,5,10,1,0,2,4,6,8,7,10,0,3,0,1,0,3,4,1,0.0,0.0652,0.0,0.0217,0.0,0.0652,0.087,0.0217
120,43,0.0188,0.0168,1.0,1.0,1.0,0.8372,0.0,0,0,0,0,0.0,,0.2022,0.0883,0.1091,0,0.0047,0.0047,8,23,3.9401,9.9174,0,0,7,0,0,0,0,0,6124,90,90,109,158,142.42,0,0,0,0,0.0,3,7,2,4,3,1,0,3,4,1,1,1,0,0,0,0,2,2,2,3,1,2,3,1,0,2,2,3,3,6,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,44,0.0188,0.0172,1.2,0.8409,1.0,0.9091,0.1698,0,0,0,0,0.0,44.44,0.2743,0.0978,0.1722,0,0.0062,0.0062,10,30,3.9441,9.9292,0,4,6,0,0,0,0,0,4597,83,88,105,132,92.64,54,62,100,57.89,0.1591,3,7,2,4,3,1,0,3,4,1,1,1,0,0,0,0,1,1,3,4,1,3,3,1,0,2,2,3,2,7,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,44,0.0188,0.0172,1.43,0.7273,0.9545,0.8333,0.3333,0,0,0,2,0.0794,47.62,0.455,0.2689,0.1476,0,0.0103,0.0103,41,30,3.9601,9.9409,0,33,4,0,0,0,4,0,15755,224,282,353,507,312.52,91,172,223,125.19,0.25,3,7,2,4,3,1,0,3,4,1,3,5,4,5,1,0,3,11,2,4,2,2,5,0,0,2,3,3,9,7,10,0,4,0,0,0,5,0,0,0.0,0.0909,0.0,0.0,0.0,0.1136,0.0,0.0
123,42,0.018,0.0164,1.0,1.0,1.0,0.9524,0.0,0,0,0,0,0.0,,0.2164,0.0847,0.1256,0,0.0052,0.0052,7,25,3.9628,9.9507,0,0,6,0,0,0,0,0,2344,51,51,64,79,55.81,0,0,0,0,0.0,3,7,2,4,3,1,0,3,4,1,1,1,0,0,0,0,2,1,2,4,1,2,3,0,0,1,3,3,2,7,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,43,0.018,0.0168,2.02,0.6512,0.9535,0.878,0.5287,0,0,0,1,0.3793,47.83,0.9283,0.7383,0.1633,0,0.0216,0.0216,85,47,3.9961,9.9691,0,53,6,2,13,1,9,0,23970,262,351,420,630,406.05,120,234,451,159.17,0.3256,3,6,2,4,3,1,0,3,4,4,6,1,1,19,1,0,9,17,2,4,1,6,20,0,0,2,3,5,11,7,11,13,8,0,1,13,8,1,1,0.3023,0.186,0.0,0.0233,0.3023,0.186,0.0233,0.0233
125,41,0.0176,0.016,1.07,0.9512,1.0,0.9512,0.0682,0,0,0,0,0.0455,21.67,0.2196,0.0823,0.1275,0,0.0054,0.0054,9,27,3.9996,9.9797,0,1,6,0,0,0,2,0,4822,99,103,141,177,115.78,20,55,55,25,0.0488,3,6,2,4,3,1,0,3,3,1,2,1,1,2,0,0,1,0,2,4,1,2,3,1,0,3,3,3,3,7,11,0,2,0,0,0,2,0,0,0.0,0.0488,0.0,0.0,0.0,0.0488,0.0,0.0
126,41,0.0176,0.016,1.12,0.9268,1.0,0.878,0.1087,0,0,1,0,0.0217,33.4,0.1831,0.0627,0.114,0,0.0045,0.0045,7,26,4.0023,9.9898,0,0,6,0,0,0,1,0,4785,98,108,130,156,112.05,40,74,77,38.2,0.0732,3,6,2,4,3,1,0,3,3,1,0,1,1,1,1,0,1,0,2,4,1,1,4,0,0,3,3,2,4,7,9,0,1,0,0,0,1,0,0,0.0,0.0244,0.0,0.0,0.0,0.0244,0.0,0.0
127,40,0.0172,0.0156,1.1,0.9,1.0,0.95,0.0909,0,0,0,0,0.0455,35.0,0.209,0.0748,0.1178,0,0.0052,0.0052,9,25,4.0059,9.9996,0,2,5,0,0,0,1,0,3499,78,80,97,119,87.48,0,0,0,0,0.1,3,6,1,4,3,1,0,3,3,1,1,1,0,1,1,0,2,1,2,4,0,2,3,1,0,2,3,3,4,6,11,0,1,0,0,0,1,0,0,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0
128,40,0.0172,0.0156,1.07,0.925,1.0,0.95,0.0698,0,0,0,0,0.0,70.67,0.1651,0.0565,0.0953,0,0.0041,0.0041,6,25,4.0082,10.0094,0,1,5,0,0,0,0,0,4509,102,103,128,150,110.98,0,70,70,23.33,0.075,3,6,1,4,3,1,0,3,3,1,1,2,0,0,0,0,1,0,2,4,0,2,3,1,0,2,3,3,1,6,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
